Site,Date,Date_Time,Gen_QC,Flags,Time,Time_QC,Temp_DOLog,Temp_DOLog_QC,Temp_CondLog,Temp_CondLog_QC,Raw_DO,Raw_DO_QC,DO,DO_QC,DO_Calibration_QC,DO_Pct_Sat,DO_Pct_Sat_QC,Salinity,Salinity_QC,Sal_Calibration_QC,High_Range,High_Range_QC,Spec_Cond,Spec_Cond_QC,Cal,QA_Comment,Field_Comment,,
AB2,8/16/2024,8/16/2024 19:10,,,19:10:00,,23.82,,24.54,,9.14,,8.13,,,115,,31.0464,,,25999.6,,47687.8,,,,,,
AB2,8/16/2024,8/16/2024 19:20,,,19:20:00,,23.86,,24.61,,9.35,,8.32,,,117.7,,31.0067,,,26006.5,,47633.4,,,,,,
AB2,8/16/2024,8/16/2024 19:30,,,19:30:00,,23.88,,24.59,,9.19,,8.18,,,115.8,,31.0184,,,26004.8,,47649.4,,,,,,
AB2,8/16/2024,8/16/2024 19:40,,,19:40:00,,23.98,,24.77,,9.67,,8.61,,,122,,30.9,,,26009.9,,47486.9,,,,,,
AB2,8/16/2024,8/16/2024 19:50,,,19:50:00,,23.98,,24.75,,9.34,,8.32,,,117.9,,30.8978,,,25997.8,,47483.7,,,,,,
AB2,8/16/2024,8/16/2024 20:00,,,20:00:00,,24.02,,24.75,,9.19,,8.18,,,116.1,,30.8771,,,25982.3,,47455.4,,,,,,
AB2,8/16/2024,8/16/2024 20:10,,,20:10:00,,24.02,,24.76,,9.14,,8.14,,,115.4,,30.8655,,,25978.8,,47439.4,,,,,,
AB2,8/16/2024,8/16/2024 20:20,,,20:20:00,,23.96,,24.67,,8.85,,7.88,,,111.6,,30.9048,,,25961.5,,47493.5,,,,,,
AB2,8/16/2024,8/16/2024 20:30,,,20:30:00,,23.98,,24.76,,9.28,,8.26,,,117.1,,30.8632,,,25977.1,,47436.2,,,,,,
AB2,8/16/2024,8/16/2024 20:40,,,20:40:00,,24.08,,24.84,,9.39,,8.36,,,118.7,,30.8331,,,25996.1,,47394.9,,,,,,
AB2,8/16/2024,8/16/2024 20:50,,,20:50:00,,24.04,,24.73,,9.19,,8.18,,,116.1,,30.9391,,,26018.6,,47540.5,,,,,,
AB2,8/16/2024,8/16/2024 21:00,,,21:00:00,,23.98,,24.71,,9.01,,8.02,,,113.7,,30.9368,,,26006.5,,47537.4,,,,,,
AB2,8/16/2024,8/16/2024 21:10,,,21:10:00,,23.98,,24.75,,9.11,,8.11,,,114.9,,30.916,,,26011.7,,47508.7,,,,,,
AB2,8/16/2024,8/16/2024 21:20,,,21:20:00,,24,,24.73,,9,,8.01,,,113.6,,30.9343,,,26015.1,,47534,,,,,,
AB2,8/16/2024,8/16/2024 21:30,,,21:30:00,,24.04,,24.79,,9.12,,8.12,,,115.2,,30.8697,,,25997.8,,47445.2,,,,,,
AB2,8/16/2024,8/16/2024 21:40,,,21:40:00,,24.04,,24.79,,9.05,,8.06,,,114.3,,30.8697,,,25997.8,,47445.2,,,,,,
AB2,8/16/2024,8/16/2024 21:50,,,21:50:00,,24,,24.73,,8.8,,7.83,,,111.1,,30.9089,,,25996.1,,47499.1,,,,,,
AB2,8/16/2024,8/16/2024 22:00,,,22:00:00,,23.98,,24.77,,8.69,,7.74,,,109.6,,30.81,,,25942.5,,47363.1,,,,,,
AB2,8/16/2024,8/16/2024 22:10,,,22:10:00,,24.08,,24.89,,9.03,,8.04,,,114.1,,30.7936,,,25992.6,,47340.7,,,,,,
AB2,8/16/2024,8/16/2024 22:20,,,22:20:00,,24.18,,24.94,,9.12,,8.13,,,115.5,,30.7249,,,25966.7,,47246.2,,,,,,
AB2,8/16/2024,8/16/2024 22:30,,,22:30:00,,24.2,,24.94,,9.12,,8.12,,,115.5,,30.7844,,,26011.7,,47328,,,,,,
AB2,8/16/2024,8/16/2024 22:40,,,22:40:00,,24.16,,24.9,,9.09,,8.1,,,115,,30.7844,,,25990.9,,47328,,,,,,
AB2,8/16/2024,8/16/2024 22:50,,,22:50:00,,24.14,,24.9,,9.04,,8.05,,,114.4,,30.8211,,,26018.6,,47378.3,,,,,,
AB2,8/16/2024,8/16/2024 23:00,,,23:00:00,,24.14,,24.88,,8.85,,7.88,,,112,,30.8119,,,26001.3,,47365.7,,,,,,
AB2,8/16/2024,8/16/2024 23:10,,,23:10:00,,24.08,,24.83,,8.25,,7.34,,,104.3,,30.8464,,,26001.3,,47413.1,,,,,,
AB2,8/16/2024,8/16/2024 23:20,,,23:20:00,,24.1,,24.88,,8.88,,7.91,,,112.3,,30.7889,,,25984,,47334.1,,,,,,
AB2,8/16/2024,8/16/2024 23:30,,,23:30:00,,24.06,,24.77,,7.94,,7.07,,,100.3,,30.8693,,,25987.4,,47444.7,,,,,,
AB2,8/16/2024,8/16/2024 23:40,,,23:40:00,,24.04,,24.79,,7.85,,6.99,,,99.1,,30.8394,,,25975.3,,47403.5,,,,,,
AB2,8/16/2024,8/16/2024 23:50,,,23:50:00,,24.04,,24.79,,8.07,,7.18,,,101.9,,30.8302,,,25968.4,,47390.9,,,,,,
AB2,8/17/2024,8/17/2024 0:00,,,0:00:00,,24.02,,24.76,,7.74,,6.89,,,97.7,,30.8395,,,25959.8,,47403.6,,,,,,
AB2,8/17/2024,8/17/2024 0:10,,,0:10:00,,24.02,,24.76,,7.8,,6.94,,,98.4,,30.828,,,25951.2,,47387.9,,,,,,
AB2,8/17/2024,8/17/2024 0:20,,,0:20:00,,24.06,,24.8,,7.99,,7.11,,,100.9,,30.8026,,,25952.9,,47353,,,,,,
AB2,8/17/2024,8/17/2024 0:30,,,0:30:00,,23.98,,24.68,,7.52,,6.69,,,94.8,,30.8626,,,25935.6,,47435.4,,,,,,
AB2,8/17/2024,8/17/2024 0:40,,,0:40:00,,23.9,,24.61,,7.81,,6.95,,,98.3,,30.8973,,,25925.3,,47483.2,,,,,,
AB2,8/17/2024,8/17/2024 0:50,,,0:50:00,,23.84,,24.61,,7.83,,6.96,,,98.5,,30.8996,,,25927,,47486.2,,,,,,
AB2,8/17/2024,8/17/2024 1:00,,,1:00:00,,23.9,,24.7,,7.38,,6.57,,,92.9,,30.8074,,,25904.6,,47359.5,,,,,,
AB2,8/17/2024,8/17/2024 1:10,,,1:10:00,,23.98,,24.75,,7.24,,6.44,,,91.3,,30.7797,,,25909.8,,47321.5,,,,,,
AB2,8/17/2024,8/17/2024 1:20,,,1:20:00,,23.98,,24.73,,7.29,,6.49,,,91.9,,30.782,,,25901.2,,47324.7,,,,,,
AB2,8/17/2024,8/17/2024 1:30,,,1:30:00,,23.96,,24.72,,7.19,,6.4,,,90.6,,30.7683,,,25885.7,,47305.8,,,,,,
AB2,8/17/2024,8/17/2024 1:40,,,1:40:00,,23.96,,24.71,,7,,6.23,,,88.2,,30.7958,,,25901.2,,47343.6,,,,,,
AB2,8/17/2024,8/17/2024 1:50,,,1:50:00,,23.9,,24.62,,6.9,,6.14,,,86.9,,30.8235,,,25875.3,,47381.7,,,,,,
AB2,8/17/2024,8/17/2024 2:00,,,2:00:00,,23.88,,24.61,,6.88,,6.12,,,86.6,,30.8282,,,25873.6,,47388.1,,,,,,
AB2,8/17/2024,8/17/2024 2:10,,,2:10:00,,23.86,,24.62,,6.67,,5.93,,,83.9,,30.8259,,,25877.1,,47384.9,,,,,,
AB2,8/17/2024,8/17/2024 2:20,,,2:20:00,,23.9,,24.63,,6.71,,5.97,,,84.5,,30.7983,,,25861.6,,47347,,,,,,
AB2,8/17/2024,8/17/2024 2:30,,,2:30:00,,23.8,,24.53,,7.37,,6.55,,,92.6,,30.9456,,,25920.1,,47549.5,,,,,,
AB2,8/17/2024,8/17/2024 2:40,,,2:40:00,,23.8,,24.57,,7.13,,6.34,,,89.6,,30.9892,,,25973.6,,47609.3,,,,,,
AB2,8/17/2024,8/17/2024 2:50,,,2:50:00,,23.84,,24.57,,7.09,,6.3,,,89.1,,30.9983,,,25980.5,,47621.9,,,,,,
AB2,8/17/2024,8/17/2024 3:00,,,3:00:00,,23.82,,24.59,,7.07,,6.28,,,88.9,,30.9706,,,25970.2,,47583.8,,,,,,
AB2,8/17/2024,8/17/2024 3:10,,,3:10:00,,23.84,,24.62,,7.15,,6.36,,,89.9,,30.9565,,,25975.3,,47564.5,,,,,,
AB2,8/17/2024,8/17/2024 3:20,,,3:20:00,,23.84,,24.55,,6.85,,6.09,,,86.1,,31.0261,,,25990.9,,47660,,,,,,
AB2,8/17/2024,8/17/2024 3:30,,,3:30:00,,23.78,,24.51,,7.18,,6.38,,,90.2,,31.0748,,,26006.5,,47726.9,,,,,,
AB2,8/17/2024,8/17/2024 3:40,,,3:40:00,,23.7,,24.4,,8.85,,7.85,,,111,,31.1773,,,26025.5,,47867.6,,,,,,
AB2,8/17/2024,8/17/2024 3:50,,,3:50:00,,23.62,,24.36,,8.94,,7.93,,,111.9,,31.1939,,,26016.9,,47890.3,,,,,,
AB2,8/17/2024,8/17/2024 4:00,,,4:00:00,,23.6,,24.35,,8.67,,7.69,,,108.5,,31.2102,,,26023.8,,47912.6,,,,,,
AB2,8/17/2024,8/17/2024 4:10,,,4:10:00,,23.6,,24.35,,8.45,,7.5,,,105.7,,31.2358,,,26042.9,,47947.7,,,,,,
AB2,8/17/2024,8/17/2024 4:20,,,4:20:00,,23.64,,24.42,,8.75,,7.77,,,109.6,,31.1562,,,26020.3,,47838.5,,,,,,
AB2,8/17/2024,8/17/2024 4:30,,,4:30:00,,23.7,,24.48,,8.91,,7.91,,,111.7,,31.1188,,,26023.8,,47787.2,,,,,,
AB2,8/17/2024,8/17/2024 4:40,,,4:40:00,,23.7,,24.44,,8.75,,7.77,,,109.7,,31.1398,,,26018.6,,47816,,,,,,
AB2,8/17/2024,8/17/2024 4:50,,,4:50:00,,23.7,,24.45,,8.75,,7.77,,,109.7,,31.1166,,,26006.5,,47784.1,,,,,,
AB2,8/17/2024,8/17/2024 5:00,,,5:00:00,,23.7,,24.46,,8.7,,7.72,,,109.1,,31.0817,,,25985.7,,47736.3,,,,,,
AB2,8/17/2024,8/17/2024 5:10,,,5:10:00,,23.72,,24.48,,8.92,,7.92,,,111.9,,31.1303,,,26032.5,,47802.9,,,,,,
AB2,8/17/2024,8/17/2024 5:20,,,5:20:00,,23.72,,24.45,,8.55,,7.59,,,107.2,,31.1443,,,26027.3,,47822.2,,,,,,
AB2,8/17/2024,8/17/2024 5:30,,,5:30:00,,23.72,,24.48,,8.53,,7.57,,,107,,31.1139,,,26020.3,,47780.4,,,,,,
AB2,8/17/2024,8/17/2024 5:40,,,5:40:00,,23.72,,24.46,,8.78,,7.79,,,110.1,,31.1372,,,26027.3,,47812.5,,,,,,
AB2,8/17/2024,8/17/2024 5:50,,,5:50:00,,23.72,,24.46,,8.77,,7.78,,,110,,31.1487,,,26035.9,,47828.2,,,,,,
AB2,8/17/2024,8/17/2024 6:00,,,6:00:00,,23.72,,24.48,,8.82,,7.83,,,110.6,,31.1346,,,26035.9,,47808.9,,,,,,
AB2,8/17/2024,8/17/2024 6:10,,,6:10:00,,23.7,,24.44,,8.19,,7.27,,,102.7,,31.1302,,,26011.7,,47802.9,,,,,,
AB2,8/17/2024,8/17/2024 6:20,,,6:20:00,,23.66,,24.39,,7.94,,7.05,,,99.4,,31.1282,,,25984,,47800.1,,,,,,
AB2,8/17/2024,8/17/2024 6:30,,,6:30:00,,23.64,,24.37,,7.99,,7.09,,,100,,31.1492,,,25989.2,,47828.9,,,,,,
AB2,8/17/2024,8/17/2024 6:40,,,6:40:00,,23.62,,24.37,,7.81,,6.93,,,97.7,,31.1259,,,25971.9,,47797,,,,,,
AB2,8/17/2024,8/17/2024 6:50,,,6:50:00,,23.64,,24.41,,7.98,,7.08,,,99.9,,31.1071,,,25978.8,,47771.1,,,,,,
AB2,8/17/2024,8/17/2024 7:00,,,7:00:00,,23.68,,24.44,,8.33,,7.39,,,104.4,,31.1092,,,25996.1,,47774,,,,,,
AB2,8/17/2024,8/17/2024 7:10,,,7:10:00,,23.7,,24.46,,8.27,,7.34,,,103.6,,31.1091,,,26006.5,,47773.9,,,,,,
AB2,8/17/2024,8/17/2024 7:20,,,7:20:00,,23.72,,24.49,,8.41,,7.46,,,105.4,,31.0926,,,26009.9,,47751.2,,,,,,
AB2,8/17/2024,8/17/2024 7:30,,,7:30:00,,23.74,,24.5,,8.49,,7.54,,,106.5,,31.0693,,,25997.8,,47719.4,,,,,,
