Time,Latitude,Longitude,Depth (m),Flags
2024-04-09T18:00:00Z,41.5998236382979,-70.64372414893614,0.5945,3
2024-04-09T18:05:00Z,41.5998246721311,-70.6437252786885,0.5945,3
2024-04-09T18:10:00Z,41.59982762295085,-70.64372577049181,0.5945,3
2024-04-09T18:15:00Z,41.5998287385621,-70.6437273071896,0.5945,3
2024-04-09T18:20:00Z,41.599828248366,-70.6437297581699,0.6044,3
2024-04-09T18:25:00Z,41.5998255777414,-70.6437302733224,0.6044,3
2024-04-09T18:30:00Z,41.5998206677578,-70.6437288003273,0.6044,3
2024-04-09T18:35:00Z,41.59981889836065,-70.64372777540984,0.6144,3
2024-04-09T18:40:00Z,41.5998208655738,-70.6437272836066,0.6144,3
2024-04-09T18:45:00Z,41.5998203316913,-70.6437257487685,0.6243,3
2024-04-09T18:50:00Z,41.5998163908046,-70.64372279310345,0.62925,3
2024-04-09T18:55:00Z,41.59981419344265,-70.64372119344264,0.6342,3
2024-04-09T19:00:00Z,41.5998146852459,-70.6437216852459,0.6441,3
2024-04-09T19:05:00Z,41.5998153529412,-70.6437234117647,0.654,3
2024-04-09T19:10:00Z,41.59981633333335,-70.6437273333333,0.6639,3
2024-04-09T19:15:00Z,41.5998165286416,-70.643730314239,0.6639,3
2024-04-09T19:20:00Z,41.5998150556465,-70.6437312962357,0.6738,3
2024-04-09T19:25:00Z,41.5998137217676,-70.6437321391162,0.6837,3
2024-04-09T19:30:00Z,41.59981273977085,-70.64373263011456,0.6936,3
2024-04-09T19:35:00Z,41.599812,-70.6437334844517,0.7035,3
2024-04-09T19:40:00Z,41.599812,-70.6437354484452,0.7035,3
2024-04-09T19:45:00Z,41.5998122062193,-70.6437372062193,0.7135,3
2024-04-09T19:50:00Z,41.599813188216,-70.643738188216,0.7234,3
2024-04-09T19:55:00Z,41.599814,-70.6437386590164,0.7333,3
2024-04-09T20:00:00Z,41.599814,-70.6437366918033,0.73825,3
2024-04-09T20:05:00Z,41.5998142062193,-70.64373451882159,0.7432,3
2024-04-09T20:10:00Z,41.5998156792144,-70.64373108183305,0.7531,3
2024-04-09T20:15:00Z,41.599817,-70.6437282032787,0.75805,3
2024-04-09T20:20:00Z,41.599817,-70.6437301704918,0.75805,3
2024-04-09T20:25:00Z,41.599817,-70.643732,0.76795,3
2024-04-09T20:30:00Z,41.599817,-70.643732,0.76795,3
2024-04-09T20:35:00Z,41.5998169705401,-70.6437319705401,0.7729,3
2024-04-09T20:40:00Z,41.5998159885434,-70.6437309885434,0.7729,3
2024-04-09T20:45:00Z,41.5998150065466,-70.6437300065467,0.7828,NA
2024-04-09T20:50:00Z,41.5998159770492,-70.6437309770492,0.78775,3
2024-04-09T20:55:00Z,41.599816960655716,-70.64373196065571,0.7993,NA
2024-04-09T21:00:00Z,41.5998146432079,-70.643732,0.8026,3
2024-04-09T21:05:00Z,41.599812188216,-70.643732,0.8126,3
