Date Time,DO conc (mg/L)  #21755292,Temp (°C)  #21755292,DO Adj Conc (mg/L) c:1 2,DO Percent Sat (%),Salinity (ppt)
07/18/24 17:00:00.0,7.97,26.14,,,
07/18/24 17:10:00.0,9.90,25.92,9.16,133.7,30.2270
07/18/24 17:20:00.0,12.53,22.74,11.42,159.5,32.1667
07/18/24 17:30:00.0,12.80,22.04,11.66,160.8,32.0276
07/18/24 17:40:00.0,11.66,22.58,10.66,148.0,31.5701
07/18/24 17:50:00.0,11.17,22.96,10.22,142.8,31.4120
07/18/24 18:00:00.0,11.15,23.00,10.21,142.6,31.4076
07/18/24 18:10:00.0,10.78,23.00,9.87,137.9,31.4049
07/18/24 18:20:00.0,10.77,22.92,9.85,137.5,31.4767
07/18/24 18:30:00.0,10.48,22.80,9.58,133.5,31.5229
07/18/24 18:40:00.0,10.43,22.78,9.54,132.8,31.4962
07/18/24 18:50:00.0,10.71,22.92,9.80,136.7,31.4059
07/18/24 19:00:00.0,10.69,23.02,9.78,136.7,31.3859
07/18/24 19:10:00.0,11.05,22.96,10.10,141.1,31.4446
07/18/24 19:20:00.0,10.95,22.90,10.01,139.7,31.4628
07/18/24 19:30:00.0,11.02,22.80,10.07,140.3,31.5301
07/18/24 19:40:00.0,10.79,22.78,9.86,137.3,31.5364
07/18/24 19:50:00.0,10.49,22.74,9.58,133.4,31.5619
07/18/24 20:00:00.0,10.39,22.12,9.46,130.5,31.9940
07/18/24 20:10:00.0,10.07,21.54,9.15,125.1,32.2023
07/18/24 20:20:00.0,10.45,21.36,9.49,129.4,32.2523
07/18/24 20:30:00.0,10.13,21.42,9.20,125.5,32.2008
07/18/24 20:40:00.0,9.85,21.28,8.94,121.7,32.2806
07/18/24 20:50:00.0,10.24,21.26,9.29,126.5,32.2517
07/18/24 21:00:00.0,10.03,21.62,9.11,124.7,32.1011
07/18/24 21:10:00.0,10.01,21.64,9.10,124.5,32.0017
07/18/24 21:20:00.0,10.24,22.20,9.34,128.8,31.4629
07/18/24 21:30:00.0,9.95,23.52,9.12,128.3,30.8888
07/18/24 21:40:00.0,9.80,24.02,8.99,127.5,30.8246
07/18/24 21:50:00.0,9.80,24.16,9.00,127.9,30.8068
07/18/24 22:00:00.0,9.76,24.16,8.96,127.3,30.8041
07/18/24 22:10:00.0,9.85,24.08,9.04,128.3,30.8174
07/18/24 22:20:00.0,9.86,24.00,9.04,128.2,30.8587
07/18/24 22:30:00.0,9.91,23.90,9.09,128.6,30.9212
07/18/24 22:40:00.0,9.79,23.86,8.97,127.0,30.9366
07/18/24 22:50:00.0,9.86,23.80,9.04,127.7,30.8915
07/18/24 23:00:00.0,9.85,23.82,9.03,127.6,30.9119
07/18/24 23:10:00.0,9.69,23.68,8.88,125.2,30.9675
07/18/24 23:20:00.0,9.63,23.64,8.82,124.3,30.9496
07/18/24 23:30:00.0,9.31,23.70,8.53,120.3,30.9267
07/18/24 23:40:00.0,9.19,23.76,8.42,118.9,30.8964
07/18/24 23:50:00.0,9.17,23.76,8.40,118.6,30.9149
07/19/24 00:00:00.0,9.09,23.70,8.32,117.4,30.9558
07/19/24 00:10:00.0,8.93,23.64,8.17,115.2,30.9834
07/19/24 00:20:00.0,9.06,23.56,8.29,116.7,30.9811
07/19/24 00:30:00.0,9.14,23.52,8.36,117.7,31.0213
07/19/24 00:40:00.0,9.12,23.42,8.34,117.2,31.0522
07/19/24 00:50:00.0,9.07,23.34,8.29,116.3,31.0871
