Site,Date,Date_Time,Gen_QC,Flags,Time,Time_QC,Temp_DOLog,Temp_DOLog_QC,Temp_CondLog,Temp_CondLog_QC,Raw_DO,Raw_DO_QC,DO,DO_QC,DO_Calibration_QC,DO_Pct_Sat,DO_Pct_Sat_QC,Salinity,Salinity_QC,Sal_Calibration_QC,High_Range,High_Range_QC,Spec_Cond,Spec_Cond_QC,Cal,QA_Comment,Field_Comment
WH1X,6/2/2023,6/2/2023 12:10,,,12:10:00,,21.98,,22.39,,9.68,,8.18,,,110.2,,28.3022,,,33847.2,,43895.4,,1,,
WH1X,6/2/2023,6/2/2023 12:20,12,,12:20:00,,21.84,,22.59,,9.81,,8.28,,,111.4,,28.4516,,,34147.6,,44103.3,,,,
WH1X,6/2/2023,6/2/2023 12:30,,,12:30:00,,21.72,,22.37,,9.51,,8.02,,,107.8,,28.5732,,,34123.1,,44272.3,,,,
WH1X,6/2/2023,6/2/2023 12:40,,,12:40:00,,21.72,,22.54,,9.54,,8.06,,,108.1,,28.3893,,,34044.4,,44016.5,,,,
WH1X,6/2/2023,6/2/2023 12:50,,,12:50:00,,21.7,,22.58,,9.57,,8.09,,,108.4,,28.2232,,,33893,,43785.5,,,,
WH1X,6/2/2023,6/2/2023 13:00,,,13:00:00,,21.78,,22.53,,9.3,,7.85,,,105.5,,28.4445,,,34095.9,,44093.3,,,,
WH1X,6/2/2023,6/2/2023 13:10,,,13:10:00,,22.02,,22.9,,9.9,,8.37,,,112.8,,28.2202,,,34112.2,,43781.3,,,,
WH1X,6/2/2023,6/2/2023 13:20,,,13:20:00,,22.2,,23.03,,9.82,,8.31,,,112.3,,28.1572,,,34134,,43693.6,,,,
WH1X,6/2/2023,6/2/2023 13:30,,,13:30:00,,22.28,,23.08,,9.94,,8.41,,,113.9,,28.1706,,,34183,,43712.2,,,,
WH1X,6/2/2023,6/2/2023 13:40,,,13:40:00,,22.22,,22.99,,9.87,,8.35,,,112.9,,28.1513,,,34098.7,,43685.3,,,,
WH1X,6/2/2023,6/2/2023 13:50,,,13:50:00,,22.16,,22.94,,9.98,,8.44,,,114.1,,28.2539,,,34174.9,,43828.2,,,,
WH1X,6/2/2023,6/2/2023 14:00,,,14:00:00,,22.2,,23,,10.07,,8.52,,,115.2,,28.2407,,,34202.1,,43809.9,,,,
WH1X,6/2/2023,6/2/2023 14:10,,,14:10:00,,22.16,,23.04,,10.17,,8.6,,,116.2,,28.1905,,,34174.9,,43739.9,,,,
WH1X,6/2/2023,6/2/2023 14:20,,,14:20:00,,22.24,,23.06,,10.25,,8.67,,,117.3,,28.2056,,,34204.9,,43761,,,,
WH1X,6/2/2023,6/2/2023 14:30,,,14:30:00,,22.48,,23.39,,10.53,,8.92,,,121.1,,28.0953,,,34314.3,,43607.4,,,,
WH1X,6/2/2023,6/2/2023 14:40,,,14:40:00,,22.64,,23.49,,10.59,,8.97,,,122.2,,28.0597,,,34344.5,,43557.8,,,,
WH1X,6/2/2023,6/2/2023 14:50,,,14:50:00,,22.76,,23.61,,10.64,,9.02,,,123,,27.9517,,,34308.8,,43407.4,,,,
WH1X,6/2/2023,6/2/2023 15:00,,,15:00:00,,22.9,,23.81,,10.65,,9.04,,,123.5,,27.819,,,34300.6,,43222.3,,,,
WH1X,6/2/2023,6/2/2023 15:10,,,15:10:00,,23.04,,23.82,,10.57,,8.97,,,122.9,,27.8602,,,34352.7,,43279.8,,,,
WH1X,6/2/2023,6/2/2023 15:20,,,15:20:00,,22.78,,23.7,,10.37,,8.79,,,119.9,,27.9236,,,34339,,43368.2,,,,
WH1X,6/2/2023,6/2/2023 15:30,,,15:30:00,,22.5,,23.37,,10.19,,8.63,,,117.2,,28.1606,,,34369.2,,43698.4,,,,
WH1X,6/2/2023,6/2/2023 15:40,,,15:40:00,,22.72,,23.83,,10.53,,8.93,,,121.7,,27.8156,,,34308.8,,43217.5,,,,
WH1X,6/2/2023,6/2/2023 15:50,,,15:50:00,,22.66,,23.56,,10.36,,8.78,,,119.6,,28.0182,,,34344.5,,43500.1,,,,
WH1X,6/2/2023,6/2/2023 16:00,,,16:00:00,,22.52,,23.24,,10.32,,8.73,,,118.8,,28.1897,,,34308.8,,43738.9,,,,
