Site,Date,Date_Time,Gen_QC,Flags,Time,Time_QC,Temp_DOLog,Temp_DOLog_QC,Temp_CondLog,Temp_CondLog_QC,Raw_DO,Raw_DO_QC,DO,DO_QC,DO_Calibration_QC,DO_Pct_Sat,DO_Pct_Sat_QC,Salinity,Salinity_QC,Sal_Calibration_QC,High_Range,High_Range_QC,Spec_Cond,Spec_Cond_QC,Cal,QA_Comment,Field_Comment
WH1X,6/16/2023,6/16/2023 10:50,,,10:50:00,,21.62,,22.22,,7.49,,6.46,,,87.1,,29.501,,,33871.4,,45558.4,,1,,
WH1X,6/16/2023,6/16/2023 11:00,12,,11:00:00,,20.78,,21.53,,7.84,,6.73,,,89.7,,30.1085,,,34006.4,,46397.4,,,,
WH1X,6/16/2023,6/16/2023 11:10,,,11:10:00,,20.52,,21.87,,7.7,,6.62,,,87.7,,29.7693,,,33903.8,,45929.2,,,,
WH1X,6/16/2023,6/16/2023 11:20,,,11:20:00,,20.86,,22.16,,7.59,,6.54,,,87,,29.4587,,,33790.8,,45499.9,,,,
WH1X,6/16/2023,6/16/2023 11:30,,,11:30:00,,21.18,,22.28,,7.68,,6.63,,,88.6,,29.4121,,,33828.4,,45435.4,,,,
WH1X,6/16/2023,6/16/2023 11:40,,,11:40:00,,21.52,,22.33,,7.72,,6.67,,,89.6,,29.3662,,,33817.6,,45371.9,,,,
WH1X,6/16/2023,6/16/2023 11:50,,,11:50:00,,21.6,,22.34,,7.86,,6.79,,,91.4,,29.3345,,,33793.5,,45328,,,,
WH1X,6/16/2023,6/16/2023 12:00,,,12:00:00,,21.64,,22.33,,8.05,,6.95,,,93.7,,29.3422,,,33796.2,,45338.7,,,,
WH1X,6/16/2023,6/16/2023 12:10,,,12:10:00,,21.68,,22.35,,8.21,,7.09,,,95.6,,29.3609,,,33831.1,,45364.6,,,,
WH1X,6/16/2023,6/16/2023 12:20,,,12:20:00,,21.82,,22.58,,8.27,,7.15,,,96.6,,29.1838,,,33809.6,,45119.4,,,,
WH1X,6/16/2023,6/16/2023 12:30,,,12:30:00,,21.98,,22.67,,8.41,,7.28,,,98.6,,29.1711,,,33860.7,,45101.8,,,,
WH1X,6/16/2023,6/16/2023 12:40,,,12:40:00,,22.06,,22.74,,8.39,,7.26,,,98.5,,29.1486,,,33887.6,,45070.6,,,,
WH1X,6/16/2023,6/16/2023 12:50,,,12:50:00,,22.04,,22.83,,8.31,,7.19,,,97.5,,29.0845,,,33884.9,,44981.8,,,,
WH1X,6/16/2023,6/16/2023 13:00,,,13:00:00,,22.08,,22.9,,8.32,,7.21,,,97.7,,28.9671,,,33812.3,,44819,,,,
WH1X,6/16/2023,6/16/2023 13:10,,,13:10:00,,22.12,,22.99,,8.36,,7.24,,,98.3,,28.9753,,,33884.9,,44830.3,,,,
WH1X,6/16/2023,6/16/2023 13:20,,,13:20:00,,22.14,,22.96,,8.92,,7.73,,,104.9,,29.0141,,,33906.5,,44884.2,,,,
WH1X,6/16/2023,6/16/2023 13:30,,,13:30:00,,22.5,,23.34,,9.38,,8.14,,,111.1,,28.8804,,,34030.8,,44698.7,,,,
WH1X,6/16/2023,6/16/2023 13:40,,,13:40:00,,22.62,,23.39,,9.58,,8.31,,,113.7,,28.8999,,,34087.8,,44725.8,,,,
WH1X,6/16/2023,6/16/2023 13:50,,,13:50:00,,22.66,,23.41,,9.64,,8.37,,,114.5,,28.8929,,,34095.9,,44716.1,,,,
WH1X,6/16/2023,6/16/2023 14:00,,,14:00:00,,22.86,,23.64,,10.34,,8.98,,,123.3,,28.8079,,,34166.7,,44598.1,,,,
WH1X,6/16/2023,6/16/2023 14:10,,,14:10:00,,22.86,,23.47,,9.58,,8.32,,,114.2,,28.8839,,,34131.3,,44703.6,,,,
WH1X,6/16/2023,6/16/2023 14:20,,,14:20:00,,22.8,,23.54,,9.71,,8.43,,,115.7,,28.8725,,,34169.4,,44687.8,,,,
WH1X,6/16/2023,6/16/2023 14:30,,,14:30:00,,22.86,,23.55,,9.8,,8.51,,,116.9,,28.8285,,,34131.3,,44626.7,,,,
WH1X,6/16/2023,6/16/2023 14:40,,,14:40:00,,22.86,,23.61,,9.72,,8.45,,,115.9,,28.7776,,,34120.4,,44556.1,,,,
WH1X,6/16/2023,6/16/2023 14:50,,,14:50:00,,22.92,,23.65,,9.8,,8.52,,,117,,28.7603,,,34131.3,,44532,,,,
WH1X,6/16/2023,6/16/2023 15:00,,,15:00:00,,22.92,,23.66,,10.03,,8.72,,,119.8,,28.7573,,,34136.7,,44527.9,,,,
WH1X,6/16/2023,6/16/2023 15:10,,,15:10:00,,22.98,,23.62,,9.65,,8.39,,,115.4,,28.7792,,,34134,,44558.3,,,,
WH1X,6/16/2023,6/16/2023 15:20,,,15:20:00,,22.98,,23.68,,9.92,,8.62,,,118.6,,28.7616,,,34158.5,,44533.9,,,,
WH1X,6/16/2023,6/16/2023 15:30,,,15:30:00,,23,,23.66,,9.71,,8.44,,,116.2,,28.745,,,34128.6,,44510.8,,,,
WH1X,6/16/2023,6/16/2023 15:40,,,15:40:00,,23.02,,23.7,,9.73,,8.46,,,116.5,,28.725,,,34136.7,,44483.1,,,,
WH1X,6/16/2023,6/16/2023 15:50,,,15:50:00,,23.06,,23.71,,9.81,,8.53,,,117.5,,28.7094,,,34128.6,,44461.4,,,,
WH1X,6/16/2023,6/16/2023 16:00,,,16:00:00,,23.08,,23.75,,9.93,,8.64,,,119,,28.7227,,,34172.1,,44479.9,,,,
WH1X,6/16/2023,6/16/2023 16:10,,,16:10:00,,23.1,,23.76,,9.91,,8.62,,,118.8,,28.7223,,,34180.3,,44479.4,,,,
WH1X,6/16/2023,6/16/2023 16:20,,,16:20:00,,23.2,,23.97,,10.04,,8.74,,,120.6,,28.5853,,,34180.3,,44289,,,,
WH1X,6/16/2023,6/16/2023 16:30,,,16:30:00,,23.16,,23.82,,10.13,,8.82,,,121.6,,28.6855,,,34185.8,,44428.2,,,,
WH1X,6/16/2023,6/16/2023 16:40,,,16:40:00,,23.16,,23.81,,9.9,,8.62,,,118.9,,28.67,,,34164,,44406.7,,,,
WH1X,6/16/2023,6/16/2023 16:50,,,16:50:00,,23.2,,23.87,,9.98,,8.69,,,119.9,,28.645,,,34180.3,,44371.9,,,,
WH1X,6/16/2023,6/16/2023 17:00,,,17:00:00,,23.22,,23.87,,10.02,,8.73,,,120.5,,28.6357,,,34172.1,,44359.1,,,,
WH1X,6/16/2023,6/16/2023 17:10,,,17:10:00,,23.14,,23.85,,9.93,,8.65,,,119.2,,28.6471,,,34172.1,,44374.9,,,,
WH1X,6/16/2023,6/16/2023 17:20,,,17:20:00,,22.74,,23.71,,10.13,,8.81,,,120.7,,28.7208,,,34155.8,,44477.2,,,,
WH1X,6/16/2023,6/16/2023 17:30,,,17:30:00,,22.02,,23.37,,10.63,,9.23,,,124.9,,28.9641,,,34180.3,,44814.9,,,,
